xi,xj,LLM_model,prompt_id
He conducted the,"He conducted the first phase of the study, which included a total of 12 patients.",BLOOM,107
Looking up at,"Looking up at the time, there was another word to describe the sound.",GPT-2,214
With a laugh,"With a laugh:

I have only been around for a couple weeks, and I am enjoying my day here.",GPT-2,642
She waited for,She waited for three months for the results.,GPT-Neo,277
"Quietly, he whispered","Quietly, he whispered, ""I'm sorry, I didn't mean to scare you.",Falcon-7B,223
The wind howled,The wind howled and the rain poured down.,OPT,610
The lines flowed,"The lines flowed into a second office, with the receptionist behind the curtain, dressed in a top hat that was a kind of 'buddy-toothed' cap.",GPT-2,478
In the cellar,"In the cellar of an ancient monastery in northern Spain, a priest is preparing for the final rites of the new millennium.",GPT-Neo,158
The door creaked,The door creaked.,GPT-Neo,403
He stepped forward,"He stepped forward, his eyes on the ground.",Falcon-7B,133
With a sprinkle,With a sprinkle of salt.,GPT-Neo,655
As they tasted,"As they tasted, they were like a little bit of a surprise.",BLOOM,61
As night approached,"As night approached, they were forced to retreat from the town and return to
camp near the mouth of the river.",GPT-Neo,13
As they performed,"As they performed the experiments, the authors were not aware of the fact that the patients were being treated with a combination of the two drugs.",BLOOM,49
With a chuckle,"With a chuckle, the woman walked over to let the others get into position.",GPT-2,628
In the bedroom,In the bedroom.,GPT-2,153
The bird chirped,The bird chirped.,GPT-Neo,325
The future neared,"The future neared, as we began our march in the open air.",GPT-2,436
She sang the,"She sang the song in the film, and the song was a hit.",BLOOM,262
As they analyzed,"As they analyzed the data, they found that the average number of patients with a history of diabetes was significantly higher in the group with a history of diabetes than in the group without a history of diabetes.",BLOOM,23
The clock struck,The clock struck 12 and the ball dropped in Times Square.,Falcon-7B,371
The smoke rose,The smoke rose from the small building on the right-hand side.,GPT-2,554
The waves crashed,"The waves crashed against the shore, and the water was cold.",OPT,603
The flower bloomed,"The flower bloomed from a massive orange cloud over the city, followed by a blue glow from a large cloud in the distance.",GPT-2,430
The plot thickened,The plot thickened.,OPT,520
The swing creaked,The swing creaked in the road ahead.,GPT-2,576
The story unfolded,"The story unfolded in the early hours of the morning on Saturday, when a man was found dead in a car in the middle of the road in the town of Ballymena.",OPT,570
The pollen floated,"The pollen floated on the surface of the water, and the water was covered with a thin layer of pollen.",BLOOM,521
With a snip,"With a snip, I was able to get a couple of things done.",BLOOM,653
The lesson ended,The lesson ended up being that you should never trust a woman who says she's a feminist.,OPT,472
The sun peeked,The sun peeked out from behind the clouds and the sky was a deep blue.,OPT,572
She walked away,She walked away.,GPT-2,278
In the recital,"In the recital, the first movement is a slow, meditative piece.",OPT,198
The light flickered,"The light flickered on and off, on and off, on and off.",Falcon-7B,475
In the meadow,"In the meadow, the grass is always greener.",Falcon-7B,189
With a yawn,With a yawn.,GPT-2,663
The smoke rose,"The smoke rose, and the fire was
extinguished.",BLOOM,554
"Quietly, he whispered","Quietly, he whispered, ""There's no telling which of us has the key.",GPT-Neo,223
In the greenhouse,"In the greenhouse, the temperature was set at 25°C and the relative humidity was set at 50%.",BLOOM,178
With a leap,"With a leap to 11% of American adults under age 25, Romney's share rises for the first time since the mid-1970s to 44.",GPT-2,643
Looking up at,"Looking up at the sky, I see a lot of stars.",OPT,214
As they escaped,"As they escaped the city, the group was attacked by a group of bandits.",Falcon-7B,38
With a cough,"With a cough, cough, cough… cough.",GPT-2,631
In the kitchen,"In the kitchen, the kitchen is a place where you can cook and prepare meals.",BLOOM,181
The snow fell,"The snow fell in the middle of the night, and the wind blew the snow into the house.",OPT,556
The flavors melded,"The flavors melded together so well, and the texture was just perfect.",Falcon-7B,429
The treasure revealed,The treasure revealed in the tomb of Tutankhamun is one of the most famous in the world.,Falcon-7B,591
"Gently, she touched","Gently, she touched the side of her head, looked at her with the same expressions, then looked back at the bed.",GPT-2,102
The car started,The car started first - I thought I was dying.,GPT-Neo,354
In the closet,"In the closet, I found a pair of black leather pants that I had bought in the 80s.",Falcon-7B,160
With a flourish,"With a flourish, the man in the middle of the room, who was dressed in a black suit and a white shirt, stood up and walked over to the man in the back.",OPT,634
The piano echoed,"The piano echoed in the distance, and the sound of the wind was heard in the distance.",BLOOM,517
He stood up,"He stood up for what he believed was right by a public figure, his body lying at the bottom of the mountain.",GPT-2,134
The kite soared,"The kite soared skyward, carrying as much as three pounds of sand and debris.",GPT-Neo,463
In the dressing,"In the dressing room, I was talking to a friend about how I was going to be a father.",OPT,171
In the museum,"In the museum, the collection of the collection of the collection of the collection of the collection of the collection of the collection of the collection of the collection of the collection of the collection of the collection of the collection of the collection of the collection of the",BLOOM,192
The kite soared,"The kite soared, and his master flew to a great circle.",GPT-2,463
As justice prevailed,"As justice prevailed, the world was a better place.",OPT,10
With a sigh,"With a sigh, I looked at the calendar.",OPT,648
With a bow,With a bow and arrow.,OPT,621
He cracked the,He cracked the door and peeked outside.,GPT-Neo,108
In the dressing,"In the dressing room, he was careful to stay in the shadows, to conceal the fact that he would be joining the squad.",GPT-Neo,171
"Slowly, she breathed","Slowly, she breathed in and out, trying to get the air out of her lungs.",OPT,295
The owl hooted,The owl hooted and the owl hooted and the owl hooted and the owl hooted and the owl hooted and the owl hooted and the owl hooted and the owl hooted and the ow,BLOOM,506
The sweat dripped,The sweat dripped from her forehead.,GPT-Neo,575
The plane soared,"The plane soared over the horizon, and the stars were seen to be moving in the direction of the horizon.",BLOOM,518
As they encored,"As they encored with “The Weight,” the band’s 1970s anthem, the Grateful Dead’s “Fare Thee Well” concert at Soldier Field on Saturday night was a fitting end to a weekend of music,",Falcon-7B,37
"Without hesitation, she","Without hesitation, she said, ""I'm going to be a doctor.",Falcon-7B,669
With a grunt,"With a grunt, he pulled her up and over his shoulder.",Falcon-7B,640
As twilight fell,"As twilight fell, the sun rose over the mountains.",OPT,68
The vendor called,The vendor called me and said they had a few left.,OPT,594
In the gallery,In the gallery below an article about the relationship of the French-American philosopher Jean Baudrillard with the young Karl Marx.,GPT-Neo,175
"Slowly, he breathed","Slowly, he breathed.",GPT-2,284
The boat rocked,The boat rocked and I felt the bumpy ground beneath me.,GPT-Neo,330
The fire crackled,"The fire crackled and popped in the fireplace, and the smell of burning wood filled the room.",Falcon-7B,418
The clues led,"The clues led his agents to a small, heavily damaged building in the middle of the night.",GPT-2,373
The old man,"The old man's voice was almost too strong, and he said, in a whisper: 'Listen, son of a bitch's heart, there's someone who's going to kill a baby.",GPT-2,504
The stream bubbled,The stream bubbled and clattered before reaching the top.,GPT-2,571
With a chorus,"With a chorus of “Oh, my God,” the crowd shouted, “We’re going to get it!",BLOOM,627
She stood up,She stood up and stepped to the door.,GPT-Neo,274
The wine breathed,The wine breathed a sigh of relief from the suddenness.,GPT-2,612
In the garage,"In the garage, in the garage, in the garage, in the garage, in the garage, in the garage, in the garage, in the garage, in the garage, in the garage, in the garage, in the garage, in",OPT,176
